program_id,years_since_start,annual_earnings,cumulative_earnings,cumulative_earnings_net_of_debt
psychology,17,51921.001223369065,635154.8106706818,583840.8155144355
psychology,18,51921.001223369065,687075.8118940508,632482.8524473205
psychology,19,51921.001223369065,738996.8131174198,680915.3635620434
psychology,20,51921.001223369065,790917.8143407889,729124.9601588239
psychology,21,51921.001223369065,842838.8155641579,777097.3979999654
psychology,22,51921.001223369065,894759.816787527,824817.5226409825
psychology,23,51921.001223369065,946680.818010896,872269.2112683874
psychology,24,51921.001223369065,998601.819234265,919435.3108209101
psychology,25,51921.001223369065,1050522.820457634,966297.5721566657
psychology,26,51921.001223369065,1102443.821681003,1012836.5800136029
psychology,27,51921.001223369065,1154364.8229043721,1059031.678494425
psychology,28,51921.001223369065,1206285.8241277412,1104860.8917899984
psychology,29,51921.001223369065,1258206.8253511102,1150300.8398369858
psychology,30,51921.001223369065,1310127.8265744792,1195326.6485860022
psychology_expected,0,0.0,0.0,0.0
psychology_expected,1,0.0,0.0,0.0
psychology_expected,2,19768.32,19768.32,15639.767435419872
psychology_expected,3,19768.32,39536.64,35144.272926543206
psychology_expected,4,19768.32,59304.96,39952.622663153306
psychology_expected,5,40255.93510835913,99560.89510835914,78971.94341568791
psychology_expected,6,44503.21033322482,144064.10544158396,122159.51973575106
psychology_expected,7,48750.48555809051,192814.59099967446,169510.30226723885
psychology_expected,8,52997.760782956204,245812.35178263066,221018.91900019237
psychology_expected,9,52997.760782956204,298810.11256558687,272432.37942835083
psychology_expected,10,52997.760782956204,351807.8733485431,323744.6030638376
psychology_expected,11,52997.760782956204,404805.6341314993,374949.1208756011
psychology_expected,12,52997.760782956204,457803.3949144555,426039.0504615054
psychology_expected,13,52997.760782956204,510801.1556974117,477007.06963391806
psychology_expected,14,52997.760782956204,563798.9164803679,527845.388317417
psychology_expected,15,52997.760782956204,616796.6772633241,578545.7186507606
psychology_expected,16,52997.760782956204,669794.4380462803,629099.243178374
psychology_expected,17,52997.760782956204,722792.1988292364,679496.581009271
psychology_expected,18,52997.760782956204,775789.9596121926,729727.7518135314
